CNF File: cnfs/2.cnf
Random number seed value: random
Number of runs: 30
Number of fitness evaluations per run: 10000

Result Log

Run 1
1	64
4	67
528	68
1086	69

Run 2
1	56
2	58
6	59
10	60
12	62
16	63
29	68
891	69
2005	70

Run 3
1	58
3	65
24	66
57	68
296	69
8992	70

Run 4
1	64
26	65
28	66
172	67
523	68
4188	69
6150	70

Run 5
1	56
2	58
3	63
4	66
5	67
220	68
1391	69
7737	70

Run 6
1	62
10	65
56	66
159	67
428	68
2173	69

Run 7
1	62
4	64
22	65
203	66
337	67
464	68
4632	69

Run 8
1	61
6	62
7	66
349	68
463	70

Run 9
1	57
2	60
4	62
9	64
22	67
280	68
1107	69

Run 10
1	64
3	65
26	66
107	67
1061	68
1510	69
7661	70

Run 11
1	54
3	59
4	62
5	65
13	66
15	67
132	68
1739	69
8651	70

Run 12
1	64
12	67
1038	68
3321	69
8202	70

Run 13
1	60
2	66
3	67
145	68
3887	69

Run 14
1	60
5	62
7	64
20	67
1233	69
9833	70

Run 15
1	58
3	62
11	65
180	67
249	68
2174	69
5009	70

Run 16
1	56
3	57
5	62
7	65
32	66
392	67
783	68
2495	69

Run 17
1	59
2	61
16	63
30	65
66	66
335	67
554	68
5085	69

Run 18
1	62
6	65
88	66
194	67
391	70

Run 19
1	59
3	64
32	65
204	66
269	67
829	68
1969	69

Run 20
1	62
4	63
28	66
747	67
903	68
6568	69

Run 21
1	56
2	61
11	62
16	63
20	65
123	66
196	67
1086	69
8637	70

Run 22
1	55
2	59
6	62
11	63
18	64
28	65
156	67
297	68
2306	69

Run 23
1	54
2	57
3	59
6	60
9	62
25	67
93	68
1231	69
5326	70

Run 24
1	60
5	66
424	67
550	68
2338	69

Run 25
1	58
5	59
8	61
10	62
22	63
34	65
38	67
1185	68
2950	69

Run 26
1	61
8	63
22	64
38	65
80	67
99	69

Run 27
1	56
2	60
18	61
28	62
35	66
475	67
755	69
2849	70

Run 28
1	63
38	67
234	69
5357	70

Run 29
1	65
50	67
696	68
6550	69

Run 30
1	59
6	60
10	62
25	65
176	66
236	67
373	68
1556	69
6281	70

